Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
6,1652804498521,17/05/2022 16:21:38,1652804498430,1,17/05/2022 17:21:38,86605,11,task-s61q,,21945360,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,,,END TASK,,,,,50605,,,,,0,1,0,,,,,,,
1,1652864522541,18/05/2022 09:02:02,1652864522431,1,18/05/2022 10:02:02,86605,11,task-s61q,,21960217,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1652864524775,18/05/2022 09:02:04,1652864524709,1,18/05/2022 10:02:04,86605,11,task-s61q,,21960217,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 2,advancementZone,continue_button,2237,,,,,0,1,0,,,,,,Instructions,
3,1652864528723,18/05/2022 09:02:08,1652864528652,1,18/05/2022 10:02:08,86605,11,task-s61q,,21960217,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,2,Screen 3,advancementZone,continue_button,3936,,,,,0,1,0,,,,,,Instructions,
4,1652864558828,18/05/2022 09:02:38,1652864558778,1,18/05/2022 10:02:38,86605,11,task-s61q,,21960217,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,3,Screen 4,advancementZone,response_button_text,30118,,,Take a screenshot,1,0,1,0,,,,,,Instructions,
5,1652864563160,18/05/2022 09:02:43,1652864563104,1,18/05/2022 10:02:43,86605,11,task-s61q,,21960217,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,4,Screen 5,advancementZone,continue_button,4318,,,,,0,1,0,,,,,,Instructions,
6,1652864563204,18/05/2022 09:02:43,1652864563107,1,18/05/2022 10:02:43,86605,11,task-s61q,,21960217,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,,,END TASK,,,,,40676,,,,,0,1,0,,,,,,,
1,1652870171258,18/05/2022 10:36:11,1652870171150,1,18/05/2022 11:36:11,86605,11,task-s61q,,21963058,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1652870221100,18/05/2022 10:37:01,1652870221044,1,18/05/2022 11:37:01,86605,11,task-s61q,,21963058,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 2,advancementZone,continue_button,49854,,,,,0,1,0,,,,,,Instructions,
3,1652870234231,18/05/2022 10:37:14,1652870234169,1,18/05/2022 11:37:14,86605,11,task-s61q,,21963058,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,2,Screen 3,advancementZone,continue_button,13117,,,,,0,1,0,,,,,,Instructions,
