"","Event_Index","UTC_Timestamp","UTC_Date","Local_Timestamp","Local_Timezone","Local_Date","Experiment_ID","Experiment_Version","Tree_Node_Key","Repeat_Key","Schedule_ID","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","Checkpoint","Task_Name","Task_Version","Spreadsheet","Spreadsheet_Name","Spreadsheet_Row","Trial_Number","Screen_Number","Screen_Name","Zone_Name","Zone_Type","Reaction_Time","Reaction_Onset","Response_Type","Response","Attempt","Correct","Incorrect","Dishonest","X_Coordinate","Y_Coordinate","Timed_Out","randomise_blocks","randomise_trials","display","ANSWER","picture1","picture2","picture3","picture4","picture5","picture6","picture7","Hint","wideo1","wideo2","Picture","Hint_picture1","Hint_picture2","Doors_picture","answear","id"
"3336","48","1655127683586","13/06/2022 13:41:23","1655127683510","1","13/06/2022 14:41:23","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","11","9","7","test","fixation","fixation","451",NA,NA,NA,NA,"0","1","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""It’s left this time, I think.""","9_left_low.mp4","9_right_low.mp4","9 M:L.png","9L.png","9M.png","9 M:L.png","Right","tfbf68k4"
"3337","49","1655127685567","13/06/2022 13:41:25","1655127685496","1","13/06/2022 14:41:25","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","12","10","1","Help","AnnaButton","response_button_text","1963",NA,NA,"Beth","1","1","0","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""I'd choose right this time.""","10_left_low.mp4","10_right_low.mp4","10 M:L.png","10L.png","10M .png","10 M:L.png","Right","tfbf68k4"
"3338","50","1655127686919","13/06/2022 13:41:26","1655127686843","1","13/06/2022 14:41:26","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","12","10","2","Claire","AdvanceAnna","response_button_text","1340",NA,NA,"Continue","1","1","0","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""I'd choose right this time.""","10_left_low.mp4","10_right_low.mp4","10 M:L.png","10L.png","10M .png","10 M:L.png","Right","tfbf68k4"
"3339","51","1655127688201","13/06/2022 13:41:28","1655127688139","1","13/06/2022 14:41:28","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","12","10","4","ChooseDoor","LeftButton","response_button_text","1289.00000000006",NA,NA,"Left","1","0","1","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""I'd choose right this time.""","10_left_low.mp4","10_right_low.mp4","10 M:L.png","10L.png","10M .png","10 M:L.png","Right","tfbf68k4"
"3340","52","1655127705082","13/06/2022 13:41:45","1655127705012","1","13/06/2022 14:41:45","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","12","10","5","Left","Continue","response_button_text","16867",NA,NA,"Continue","1","1","0","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""I'd choose right this time.""","10_left_low.mp4","10_right_low.mp4","10 M:L.png","10L.png","10M .png","10 M:L.png","Right","tfbf68k4"
"3341","53","1655127705519","13/06/2022 13:41:45","1655127705449","1","13/06/2022 14:41:45","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","12","10","7","test","fixation","fixation","450",NA,NA,NA,NA,"0","1","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""I'd choose right this time.""","10_left_low.mp4","10_right_low.mp4","10 M:L.png","10L.png","10M .png","10 M:L.png","Right","tfbf68k4"
"3342","54","1655127708807","13/06/2022 13:41:48","1655127708729","1","13/06/2022 14:41:48","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","13","11","1","Help","BethButton","response_button_text","3257",NA,NA,"Anna","1","0","1","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""It’s left this time, I think.""","11_left_low.mp4","11_right_low.mp4","11 M:L.png","11L.png","11M.png","11 M:L.png","Right","tfbf68k4"
"3343","55","1655127710793","13/06/2022 13:41:50","1655127710723","1","13/06/2022 14:41:50","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","13","11","3","Anna","Zone2","response_button_text","1984",NA,NA,"Continue","1","0","1","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""It’s left this time, I think.""","11_left_low.mp4","11_right_low.mp4","11 M:L.png","11L.png","11M.png","11 M:L.png","Right","tfbf68k4"
"3344","56","1655127713773","13/06/2022 13:41:53","1655127713707","1","13/06/2022 14:41:53","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","13","11","4","ChooseDoor","RightButton","response_button_text","2978",NA,NA,"Right","1","1","0","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""It’s left this time, I think.""","11_left_low.mp4","11_right_low.mp4","11 M:L.png","11L.png","11M.png","11 M:L.png","Right","tfbf68k4"
"3345","57","1655127731412","13/06/2022 13:42:11","1655127731339","1","13/06/2022 14:42:11","90347","3","task-2pt3",NA,"22444723","tfbf68k4","6614481",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Maze game_Maria&Lucile","4","debug","debug","13","11","6","Right","Zone2","response_button_text","17627",NA,NA,"Continue","1","0","1","0",NA,NA,NA,NA,NA,"Maze","Beth",NA,NA,NA,NA,NA,NA,NA,"""It’s left this time, I think.""","11_left_low.mp4","11_right_low.mp4","11 M:L.png","11L.png","11M.png","11 M:L.png","Right","tfbf68k4"
