"","Participant_Public_ID","Task_Name","Response","Question_Key","response"
"125","u4ckj0xb","Affiliation questions - 3","85","Affilitation_Sympathy3",85
"126","u4ckj0xb","Affiliation questions - 3","4","Affilitation_Avoidance3",4
"127","rcburgqm","Affiliation questions - 3","16","Affilitation_Hostility3",16
"128","rcburgqm","Affiliation questions - 3","17","Affilitation_Avoidance3",17
"129","rcburgqm","Affiliation questions - 3","52","Affilitation_Generosity3",52
"130","rcburgqm","Affiliation questions - 3","51","Affilitation_Sympathy3",51
"131","rcburgqm","Affiliation questions - 3","53","Affilitation_Acceptance3",53
"132","rcburgqm","Affiliation questions - 3","53","Affilitation_Gratitude3",53
"133","rcburgqm","Affiliation questions - 3","15","Affilitation_Distrust3",15
"134","p1el4un1","Affiliation questions - 3","34","Affilitation_Generosity3",34
"135","p1el4un1","Affiliation questions - 3","39","Affilitation_Hostility3",39
"136","p1el4un1","Affiliation questions - 3","35","Affilitation_Acceptance3",35
"137","p1el4un1","Affiliation questions - 3","50","Affilitation_Avoidance3",50
"138","p1el4un1","Affiliation questions - 3","25","Affilitation_Distrust3",25
"139","p1el4un1","Affiliation questions - 3","50","Affilitation_Gratitude3",50
"140","p1el4un1","Affiliation questions - 3","35","Affilitation_Sympathy3",35
"141","7ca8udou","Affiliation questions - 3","40","Affilitation_Gratitude3",40
"142","7ca8udou","Affiliation questions - 3","50","Affilitation_Hostility3",50
"143","7ca8udou","Affiliation questions - 3","39","Affilitation_Generosity3",39
"144","7ca8udou","Affiliation questions - 3","39","Affilitation_Sympathy3",39
"145","7ca8udou","Affiliation questions - 3","50","Affilitation_Avoidance3",50
"146","7ca8udou","Affiliation questions - 3","50","Affilitation_Distrust3",50
"147","7ca8udou","Affiliation questions - 3","50","Affilitation_Acceptance3",50
"148","fbdvz2jm","Affiliation questions - 3","0","Affilitation_Hostility3",0
"149","fbdvz2jm","Affiliation questions - 3","45","Affilitation_Sympathy3",45
"150","fbdvz2jm","Affiliation questions - 3","0","Affilitation_Distrust3",0
"151","fbdvz2jm","Affiliation questions - 3","53","Affilitation_Gratitude3",53
"152","fbdvz2jm","Affiliation questions - 3","54","Affilitation_Acceptance3",54
"153","fbdvz2jm","Affiliation questions - 3","39","Affilitation_Avoidance3",39
"154","fbdvz2jm","Affiliation questions - 3","54","Affilitation_Generosity3",54
"155","lcoa0ulz","Affiliation questions - 3","0","Affilitation_Gratitude3",0
"156","lcoa0ulz","Affiliation questions - 3","72","Affilitation_Hostility3",72
"157","lcoa0ulz","Affiliation questions - 3","15","Affilitation_Acceptance3",15
"158","lcoa0ulz","Affiliation questions - 3","11","Affilitation_Generosity3",11
"159","lcoa0ulz","Affiliation questions - 3","25","Affilitation_Sympathy3",25
"160","lcoa0ulz","Affiliation questions - 3","69","Affilitation_Distrust3",69
"161","lcoa0ulz","Affiliation questions - 3","61","Affilitation_Avoidance3",61
"162","c10bu2ue","Affiliation questions - 3","68","Affilitation_Sympathy3",68
"163","c10bu2ue","Affiliation questions - 3","13","Affilitation_Hostility3",13
"164","c10bu2ue","Affiliation questions - 3","73","Affilitation_Gratitude3",73
"165","c10bu2ue","Affiliation questions - 3","19","Affilitation_Distrust3",19
"166","c10bu2ue","Affiliation questions - 3","27","Affilitation_Avoidance3",27
"167","c10bu2ue","Affiliation questions - 3","72","Affilitation_Acceptance3",72
"168","c10bu2ue","Affiliation questions - 3","70","Affilitation_Generosity3",70
"169","ucjf5it7","Affiliation questions - 1","0","Affilitation_Distrust1",0
"170","ucjf5it7","Affiliation questions - 1","57","Affilitation_Sympathy1",57
"171","ucjf5it7","Affiliation questions - 1","0","Affilitation_Hostility1",0
"172","ucjf5it7","Affiliation questions - 1","53","Affilitation_Generosity1",53
"173","ucjf5it7","Affiliation questions - 1","54","Affilitation_Acceptance1",54
"174","ucjf5it7","Affiliation questions - 1","0","Affilitation_Avoidance1",0
"175","ucjf5it7","Affiliation questions - 1","57","Affilitation_Gratitude1",57
"176","x15hufum","Affiliation questions - 1","50","Affilitation_Sympathy1",50
"177","x15hufum","Affiliation questions - 1","46","Affilitation_Acceptance1",46
"178","x15hufum","Affiliation questions - 1","34","Affilitation_Avoidance1",34
"179","x15hufum","Affiliation questions - 1","8","Affilitation_Hostility1",8
"180","x15hufum","Affiliation questions - 1","50","Affilitation_Generosity1",50
"181","x15hufum","Affiliation questions - 1","50","Affilitation_Gratitude1",50
"182","x15hufum","Affiliation questions - 1","41","Affilitation_Distrust1",41
"183","wopxcyrw","Affiliation questions - 1","47","Affilitation_Hostility1",47
"184","wopxcyrw","Affiliation questions - 1","54","Affilitation_Avoidance1",54
"185","wopxcyrw","Affiliation questions - 1","53","Affilitation_Acceptance1",53
"186","wopxcyrw","Affiliation questions - 1","44","Affilitation_Distrust1",44
"187","wopxcyrw","Affiliation questions - 1","44","Affilitation_Generosity1",44
"188","wopxcyrw","Affiliation questions - 1","52","Affilitation_Gratitude1",52
"189","wopxcyrw","Affiliation questions - 1","56","Affilitation_Sympathy1",56
"190","wyly5896","Affiliation questions - 1","65","Affilitation_Sympathy1",65
"191","wyly5896","Affiliation questions - 1","65","Affilitation_Gratitude1",65
"192","wyly5896","Affiliation questions - 1","65","Affilitation_Generosity1",65
"193","wyly5896","Affiliation questions - 1","65","Affilitation_Acceptance1",65
"194","wyly5896","Affiliation questions - 1","30","Affilitation_Distrust1",30
"195","wyly5896","Affiliation questions - 1","30","Affilitation_Avoidance1",30
"196","wyly5896","Affiliation questions - 1","30","Affilitation_Hostility1",30
"197","ucjf5it7","Affiliation questions - 1","0","Affilitation_Distrust1",0
"198","ucjf5it7","Affiliation questions - 1","57","Affilitation_Sympathy1",57
"199","ucjf5it7","Affiliation questions - 1","0","Affilitation_Hostility1",0
"200","ucjf5it7","Affiliation questions - 1","53","Affilitation_Generosity1",53
"201","ucjf5it7","Affiliation questions - 1","54","Affilitation_Acceptance1",54
"202","ucjf5it7","Affiliation questions - 1","0","Affilitation_Avoidance1",0
"203","ucjf5it7","Affiliation questions - 1","57","Affilitation_Gratitude1",57
"204","u4ckj0xb","Affiliation questions - 1","78","Affilitation_Acceptance1",78
"205","u4ckj0xb","Affiliation questions - 1","17","Affilitation_Distrust1",17
"206","u4ckj0xb","Affiliation questions - 1","8","Affilitation_Avoidance1",8
"207","u4ckj0xb","Affiliation questions - 1","85","Affilitation_Sympathy1",85
"208","u4ckj0xb","Affiliation questions - 1","94","Affilitation_Gratitude1",94
"209","u4ckj0xb","Affiliation questions - 1","84","Affilitation_Generosity1",84
"210","u4ckj0xb","Affiliation questions - 1","49","Affilitation_Hostility1",49
"211","rcburgqm","Affiliation questions - 1","30","Affilitation_Avoidance1",30
"212","rcburgqm","Affiliation questions - 1","52","Affilitation_Generosity1",52
"213","rcburgqm","Affiliation questions - 1","51","Affilitation_Acceptance1",51
"214","rcburgqm","Affiliation questions - 1","52","Affilitation_Gratitude1",52
"215","rcburgqm","Affiliation questions - 1","12","Affilitation_Hostility1",12
"216","rcburgqm","Affiliation questions - 1","11","Affilitation_Distrust1",11
"217","rcburgqm","Affiliation questions - 1","51","Affilitation_Sympathy1",51
"218","p1el4un1","Affiliation questions - 1","30","Affilitation_Hostility1",30
"219","p1el4un1","Affiliation questions - 1","25","Affilitation_Sympathy1",25
"220","p1el4un1","Affiliation questions - 1","30","Affilitation_Distrust1",30
"221","p1el4un1","Affiliation questions - 1","30","Affilitation_Acceptance1",30
"222","p1el4un1","Affiliation questions - 1","48","Affilitation_Avoidance1",48
"223","p1el4un1","Affiliation questions - 1","25","Affilitation_Generosity1",25
"224","p1el4un1","Affiliation questions - 1","25","Affilitation_Gratitude1",25
"225","7ca8udou","Affiliation questions - 1","50","Affilitation_Distrust1",50
"226","7ca8udou","Affiliation questions - 1","59","Affilitation_Acceptance1",59
"227","7ca8udou","Affiliation questions - 1","41","Affilitation_Sympathy1",41
